Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-08-1,10.9,18.4,0,2.2,0.7,W,22,08:27,13.3,66,6,WNW,6,1017.2,17,54,8,W,6,1013
2016-08-2,11.5,15.8,0.4,1,0.9,SE,54,23:45,12.8,76,7,W,15,1013.7,13.2,77,8,S,24,1013.9
2016-08-3,10.7,14.6,24.8,2.6,0.2,S,63,22:26,13.6,77,8,SE,31,1018,12.6,89,8,SSE,24,1017.7
2016-08-4,10.8,18.1,61,9.4,,SE,61,03:11,11.6,90,6,W,15,1024.3,15.5,60,7,SSW,19,1025.1
2016-08-5,9.7,16.2,4,3.2,2.7,SW,35,11:50,11.2,90,6,W,20,1030.4,14.7,67,6,SSW,17,1028.3
2016-08-6,9.2,15.5,1.8,2.6,2.2,SSE,31,11:29,10.8,78,7,W,17,1029,14.7,71,7,SE,7,1026.8
2016-08-7,10.3,16.4,0.6,0.6,2.6,W,33,19:09,12.4,80,7,W,15,1027.4,15.9,64,6,ESE,7,1024.7
2016-08-8,8.7,19.7,0,2.6,10.8,W,28,08:18,11,75,1,WNW,22,1026.4,17.9,52,1,E,11,1022.9
2016-08-9,8.1,19.1,0,2,6.9,NNE,28,20:33,11,73,5,W,17,1023.1,18.8,52,7,NE,11,1017.9
2016-08-10,10.9,25.2,0,4.8,9.2,NW,44,13:14,17.6,52,3,NNW,17,1015.6,24.6,33,3,NNW,24,1011.4
2016-08-11,11.2,20.3,0,6.2,10.6,W,46,12:01,14,48,1,W,17,1018.4,19.6,30,1,WSW,22,1017
2016-08-12,7.1,19.4,0,6.4,8.6,NW,41,21:01,9.7,56,0,WNW,20,1024.4,17.3,37,7,E,13,1019.8
2016-08-13,8.3,20.3,0,3.2,10.6,W,41,10:00,12.4,49,1,W,24,1022.5,19.8,31,2,WSW,19,1020.2
2016-08-14,9.5,20,0,5.4,10.5,W,28,07:55,14.2,52,1,W,20,1027.7,17.6,46,1,SE,13,1027.2
2016-08-15,8.9,19.6,0,3.2,10.1,NE,30,15:51,12,72,1,WNW,17,1032.7,19.2,54,1,NE,17,1029.7
2016-08-16,9.8,20.3,0,4,10.5,ENE,24,12:38,12.8,75,0,W,13,1031,19.6,59,0,ENE,19,1025.8
2016-08-17,10.6,24.2,0,3.8,10.2,ENE,24,16:17,14.2,63,1,W,15,1026.3,22.7,35,6,ENE,11,1022.1
2016-08-18,11.6,22.9,0,4.6,10.5,N,31,22:44,14.2,62,1,W,15,1024.5,20.7,40,1,ENE,19,1020.7
2016-08-19,11.2,24.3,0,,10,NNE,48,13:25,14.2,66,0,W,11,1020.1,22.4,37,6,NNW,24,1013.9
2016-08-20,11,17.9,0.4,6.6,10.7,WSW,59,00:07,13.2,51,1,W,19,1015.3,15.7,35,3,WSW,22,1013.8
2016-08-21,8.2,20.4,0,5.2,10.7,W,39,10:28,12.5,48,1,W,24,1019.8,19.9,32,1,WNW,9,1016.4
2016-08-22,9.5,13.8,0,3,0.2,W,35,14:49,11.4,66,7,WNW,15,1016.8,12.2,67,7,W,24,1015
2016-08-23,8.5,18.4,1.8,0.6,6.8,SSE,37,13:38,11.9,69,1,WNW,19,1014.4,15.4,57,7,SSW,20,1013.5
2016-08-24,11.8,14.7,2.4,3.2,0,S,43,20:06,13.4,79,8,SSE,11,1013.3,13.7,90,8,ESE,9,1007.5
2016-08-25,9,17.3,52.8,5.2,6.7,W,48,12:05,11.4,67,7,SW,22,1010.2,15.7,48,3,S,15,1010.6
2016-08-26,7.3,17.3,0,4.6,7.8,W,43,07:35,10.4,57,7,W,20,1018.7,16.4,50,7,S,20,1017.6
2016-08-27,7.4,19.9,1.4,2.8,10.7,W,33,05:25,11.3,57,1,W,24,1023.6,17.7,45,1,ENE,15,1020.3
2016-08-28,8.4,20.5,0,3.8,10.7,W,33,04:29,12.2,50,1,W,22,1022.9,18,36,2,ESE,17,1020.9
2016-08-29,8.4,19.6,0,4,6.1,W,22,01:21,12.9,57,7,W,17,1027.4,18.1,38,7,W,9,1025
2016-08-30,10.7,19.9,0,3.2,4.4,NNE,31,18:04,13.8,71,7,W,17,1026.9,19.6,62,6,ENE,15,1023.1
2016-08-31,13.6,23.6,0,,2.3,NNW,54,13:39,18.8,61,7,N,20,1018.7,21.2,53,7,NNW,39,1013.9
