Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-11-1,11.2,25.6,0,7.2,12.4,SW,31,16:15,18.4,50,0,ESE,11,1020.2,23.1,45,0,SSW,17,1015.2
2016-11-2,12,30.8,0,7.4,12.5,SSW,33,15:51,21.5,45,0,E,7,1014.5,28.4,30,1,SW,15,1010.8
2016-11-3,13.2,22.9,0,9.2,12.6,SSW,39,16:23,17.9,65,0,SW,15,1016.8,20.9,57,0,SW,22,1016.8
2016-11-4,16,26.1,0,5.8,9.3,SW,33,16:12,18.8,69,7,ENE,9,1022,24.4,53,0,SSW,19,1018.5
2016-11-5,14.1,37,0,6.6,12.8,SW,31,17:07,25.6,45,0,ENE,11,1017.8,33.8,30,0,WSW,15,1012.7
2016-11-6,18.2,25,0,8.6,12.5,SW,44,13:16,22.5,64,1,SSW,15,1014.1,22.3,67,4,SSW,19,1015.1
2016-11-7,11.5,22.4,0,7.6,12.6,SW,39,14:14,16.5,47,1,SE,13,1019.4,18.7,50,7,WSW,20,1016.5
2016-11-8,9.4,23.6,0,7.2,12.4,SW,41,21:27,18,50,0,E,7,1014.2,21.1,46,1,WSW,15,1010.2
2016-11-9,13,21.4,0,8.4,8.1,WSW,37,13:36,17.1,58,7,SSE,13,1011.4,19.7,44,1,SW,20,1010.5
2016-11-10,8.2,21.8,0,5,8,WNW,41,12:56,19.2,52,2,NW,11,1011.6,17.3,87,8,NW,15,1009.2
2016-11-11,11.2,21.2,0.4,6,10,SW,39,12:13,17.9,50,5,WSW,17,1016.2,19.2,49,4,SW,17,1016.4
2016-11-12,8.2,22.5,0,6,12.2,SSW,39,15:56,18.9,46,1,SSW,9,1022.1,20.9,52,1,SW,20,1020.3
2016-11-13,11.6,31.1,0,7,12.9,SW,31,17:35,21,44,0,E,13,1023,29,32,1,SSW,13,1017.7
2016-11-14,14.1,36.9,0,9.8,12.9,NNE,43,08:53,27.4,16,0,NNE,24,1014.1,36.6,9,0,NE,11,1008.5
2016-11-15,17.3,35.8,0,10,12.5,NW,39,14:46,31.4,18,0,NE,15,1005.7,24.3,64,4,WNW,15,1004.6
2016-11-16,18.6,21.6,0,7.8,4.3,WNW,39,12:45,20.5,63,7,WNW,7,1004.6,19.5,64,7,SSW,9,1007.8
2016-11-17,10.6,21.8,14,3.8,13.2,SW,37,14:10,17.3,44,1,SE,9,1022.7,19.8,46,0,SW,20,1021.1
2016-11-18,9.9,30.3,0,7.8,12.8,SW,31,15:42,21.3,42,0,E,11,1020,26.7,30,0,WSW,17,1015.7
2016-11-19,11.8,25.6,0,8.4,12.9,SW,41,21:04,22.3,50,1,S,7,1013.4,23.7,52,4,SSW,19,1012.1
2016-11-20,15.3,23.5,0,9.2,10.6,SSW,46,15:54,20.6,43,5,SSW,17,1016.4,20.9,47,1,SSW,24,1015.6
2016-11-21,10.2,21.8,0,7.4,12.6,SSW,37,16:09,17.3,49,7,ESE,9,1020.9,20.5,40,6,SW,17,1018.2
2016-11-22,13,28.2,0,7.4,13.2,SSW,37,14:51,21.8,39,0,E,11,1019.7,25.3,38,0,SSW,20,1016
2016-11-23,14.3,33,0,9.4,13.2,SSW,39,15:44,25.4,34,1,ENE,13,1018.4,30.7,22,1,SW,19,1015.8
2016-11-24,18,33.9,0,12.6,13,SW,37,16:37,26.1,34,0,E,13,1018.4,31.8,25,1,SW,19,1015.3
2016-11-25,16.7,35.4,0,11.6,13,ENE,35,08:00,25.7,35,0,ENE,15,1017.3,34.8,14,1,S,11,1013.6
2016-11-26,18.7,38.2,0,11.8,13.1,NE,31,08:23,31.5,23,1,NNE,17,1013.8,37.4,11,1,SSW,9,1010.4
2016-11-27,17.1,31,0,11.4,13.2,SSW,37,16:35,26.9,45,0,S,9,1013.2,28.3,38,0,SW,17,1013.2
2016-11-28,15.2,29.5,0,9.2,13.1,SW,33,19:00,23.8,45,1,E,6,1015.4,26,45,0,WSW,15,1013.5
2016-11-29,15.3,25.9,0,10.2,13.2,SSW,39,15:09,20.4,60,1,SSE,13,1017.3,24.9,50,3,SW,19,1013.6
2016-11-30,15.1,26.6,0,8,13.1,SSW,43,14:53,22.6,52,1,SSE,7,1014.5,22.7,52,3,SSW,22,1012.9
